"id","event","device","date","timestamp"
"1","found","00:0E:ED:00:4F:C5","2005-08-16T10:35:16+01:00","1124184916"
"2","found","00:0F:B3:92:05:D3","2005-08-16T10:35:16+01:00","1124184916"
"3","found","00:0F:DE:B4:BE:AF","2005-08-16T10:38:10+01:00","1124185090"
"4","found","00:0E:07:91:E5:3A","2005-08-16T10:57:10+01:00","1124186230"
"5","lost","00:0E:07:91:E5:3A","2005-08-16T10:57:55+01:00","1124186275"
"6","lost","00:0F:DE:B4:BE:AF","2005-08-16T12:03:37+01:00","1124190217"
"7","found","00:0E:07:BF:06:82","2005-08-16T12:34:57+01:00","1124192097"
"8","lost","00:0E:07:BF:06:82","2005-08-16T12:35:57+01:00","1124192157"
"9","found","00:0E:ED:80:B4:6E","2005-08-16T13:39:38+01:00","1124195978"
"10","lost","00:0E:ED:80:B4:6E","2005-08-16T13:40:38+01:00","1124196038"
"11","found","00:E0:0C:58:26:74","2005-08-16T13:57:39+01:00","1124197059"
"12","lost","00:E0:0C:58:26:74","2005-08-16T13:58:39+01:00","1124197119"
"13","found","00:0F:DE:B4:BE:AF","2005-08-16T14:10:19+01:00","1124197819"
"14","found","00:0E:07:BF:06:82","2005-08-16T14:10:39+01:00","1124197839"
"15","lost","00:0E:07:BF:06:82","2005-08-16T14:11:39+01:00","1124197899"
"16","found","00:0E:ED:00:4F:C5","2005-08-16T15:03:35+01:00","1124201015"
"17","found","00:0F:B3:92:05:D3","2005-08-16T15:03:35+01:00","1124201015"
"18","found","00:0F:DE:B4:BE:AF","2005-08-16T15:03:35+01:00","1124201015"
"19","found","00:0F:DE:C0:9D:C9","2005-08-16T16:28:22+01:00","1124206102"
"20","lost","00:0F:DE:C0:9D:C9","2005-08-16T16:29:07+01:00","1124206147"
"21","found","00:11:9F:B5:3E:56","2005-08-16T16:40:07+01:00","1124206807"
"22","lost","00:11:9F:B5:3E:56","2005-08-16T16:40:52+01:00","1124206852"
"23","found","00:0E:6D:4C:74:0B","2005-08-16T16:45:52+01:00","1124207152"
"24","lost","00:0E:6D:4C:74:0B","2005-08-16T16:46:37+01:00","1124207197"
"25","found","00:12:62:D2:9A:E7","2005-08-16T16:58:23+01:00","1124207903"
"26","found","00:0A:D9:62:83:3D","2005-08-16T16:58:53+01:00","1124207933"
"27","lost","00:12:62:D2:9A:E7","2005-08-16T16:59:08+01:00","1124207948"
"28","lost","00:0A:D9:62:83:3D","2005-08-16T16:59:38+01:00","1124207978"
"29","found","00:0E:ED:1E:66:59","2005-08-16T17:13:08+01:00","1124208788"
"30","lost","00:0E:ED:1E:66:59","2005-08-16T17:13:53+01:00","1124208833"
"31","found","7F:F8:52:81:00:03","2005-08-16T17:19:53+01:00","1124209193"
"32","lost","7F:F8:52:81:00:03","2005-08-16T17:20:38+01:00","1124209238"
"33","lost","00:0F:DE:B4:BE:AF","2005-08-16T17:26:38+01:00","1124209598"
"34","found","00:0E:ED:13:0B:08","2005-08-16T17:46:54+01:00","1124210814"
"35","lost","00:0E:ED:13:0B:08","2005-08-16T17:47:39+01:00","1124210859"
"36","found","00:0E:ED:12:8B:BE","2005-08-16T19:01:26+01:00","1124215286"
"37","lost","00:0E:ED:12:8B:BE","2005-08-16T19:02:11+01:00","1124215331"
"38","found","00:0E:ED:00:4F:C5","2005-08-17T08:48:23+01:00","1124264903"
"39","found","00:0F:B3:92:05:D3","2005-08-17T08:48:23+01:00","1124264903"
"40","found","00:11:9F:B5:45:89","2005-08-17T08:49:07+01:00","1124264947"
"41","lost","00:11:9F:B5:45:89","2005-08-17T08:49:52+01:00","1124264992"
"42","found","00:09:2D:12:CE:0D","2005-08-17T08:58:52+01:00","1124265532"
"43","lost","00:09:2D:12:CE:0D","2005-08-17T08:59:37+01:00","1124265577"
"44","found","00:0E:6D:4D:53:56","2005-08-17T09:01:22+01:00","1124265682"
"45","found","00:0E:6D:14:20:BD","2005-08-17T09:12:22+01:00","1124266342"
"46","lost","00:0E:6D:14:20:BD","2005-08-17T09:13:07+01:00","1124266387"
"47","lost","00:0F:B3:92:05:D3","2005-08-17T10:17:39+01:00","1124270259"
"48","found","00:0F:B3:92:05:D3","2005-08-17T10:17:54+01:00","1124270274"
"49","found","00:0E:07:91:E5:3A","2005-08-17T10:54:40+01:00","1124272480"
"50","lost","00:0E:07:91:E5:3A","2005-08-17T10:55:25+01:00","1124272525"
"51","found","00:12:1C:45:84:5F","2005-08-17T10:58:40+01:00","1124272720"
"52","lost","00:12:1C:45:84:5F","2005-08-17T10:59:25+01:00","1124272765"
"53","found","00:0E:ED:4D:71:16","2005-08-17T11:14:10+01:00","1124273650"
"54","lost","00:0E:ED:4D:71:16","2005-08-17T11:14:55+01:00","1124273695"
